DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
25/09/1968,THOSE WERE THE DAYS,MARY HOPKIN,6,19,4.01
06/11/1968,WITH A LITTLE HELP FROM MY FRIENDS,JOE COCKER,1,34,5.12
13/11/1968,THE GOOD THE BAD AND THE UGLY,HUGO MONTENEGRO & HIS ORCHESTRA & CHORUS,4,29,2.45
11/12/1968,LILY THE PINK,SCAFFOLD,3,13,4.20
01/01/1969,OB-LA-DI OB-LA-DA,MARMALADE,1,17,3.00
08/01/1969,LILY THE PINK,SCAFFOLD,1,13,4.20
15/01/1969,OB-LA-DI OB-LA-DA,MARMALADE,2,17,3.00
29/01/1969,ALBATROSS,FLEETWOOD MAC,1,9,3.10
05/02/1969,BLACKBERRY WAY,MOVE,1,14,3.49
12/02/1969,(IF PARADISE IS) HALF AS NICE,AMEN CORNER,2,29,2.48
26/02/1969,WHERE DO YOU GO TO MY LOVELY,PETER SARSTEDT,4,28,4.44
26/03/1969,I HEARD IT THROUGH THE GRAPEVINE,MARVIN GAYE,3,32,3.14
16/04/1969,ISRAELITES,DESMOND DEKKER & THE ACES,1,10,2.35
23/04/1969,GET BACK,BEATLES WITH BILLY PRESTON,6,8,3.09
04/06/1969,DIZZY,TOMMY ROE,1,5,2.57
11/06/1969,THE BALLAD OF JOHN AND YOKO,BEATLES,3,27,2.59
02/07/1969,SOMETHING IN THE AIR,THUNDERCLAP NEWMAN,3,20,3.54
23/07/1969,HONKY TONK WOMEN,ROLLING STONES,5,16,3.02
30/08/1969,IN THE YEAR 2525 (EXORIUM AND TERMINUS),ZAGER & EVANS,3,39,3.14
20/09/1969,BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL,3,15,2.21
11/10/1969,JE T'AIME... MOI NON PLUS,JANE BIRKIN & SERGE GAINSBOURG,1,25,4.30
18/10/1969,I'LL NEVER FALL IN LOVE AGAIN,BOBBY GENTRY,1,29,2.56
25/10/1969,SUGAR SUGAR,ARCHIES,8,11,2.27
20/12/1969,TWO LITTLE BOYS,ROLF HARRIS,6,15,3.18
31/01/1970,LOVE GROWS (WHERE MY ROSEMARY GOES),EDISON LIGHTHOUSE,5,35,2.47
07/03/1970,WANDRIN' STAR,LEE MARVIN,3,13,4.28
28/03/1970,BRIDGE OVER TROUBLED WATER,SIMON & GARFUNKEL,3,26,4.53
18/04/1970,ALL KINDS OF EVERYTHING,DANA,2,23,3.01
02/05/1970,SPIRIT IN THE SKY,NORMAN GREENBAUM,2,17,3.59
16/05/1970,BACK HOME,ENGLAND WORLD CUP SQUAD,3,9,2.03
06/06/1970,YELLOW RIVER,CHRISTIE,1,12,2.46
13/06/1970,IN THE SUMMERTIME,MUNGO JERRY,7,17,3.31
01/08/1970,THE WONDER OF YOU,ELVIS PRESLEY,6,17,2.25
12/09/1970,TEARS OF A CLOWN,SMOKEY ROBINSON & THE MIRACLES,1,16,3.01
19/09/1970,BAND OF GOLD,FREDA PAYNE,6,12,2.58
31/10/1970,WOODSTOCK,MATTHEW'S SOUTHERN COMFORT,3,9,4.27
21/11/1970,VOODOO CHILE,JIMI HENDRIX EXPERIENCE,1,12,14.59
28/11/1970,I HEAR YOU KNOCKING,DAVE EDMUNDS,6,19,2.47
09/01/1971,GRANDAD,CLIVE DUNN,3,7,3.24
30/01/1971,MY SWEET LORD,GEORGE HARRISON,5,13,4.41
06/03/1971,BABY JUMP,MUNGO JERRY,2,9,4.10
20/03/1971,HOT LOVE,T REX,6,8,4.55
01/05/1971,DOUBLE BARREL,DAVE & ANSIL COLLINS,2,13,2.45
15/05/1971,KNOCK THREE TIMES,DAWN,5,17,2.57
19/06/1971,CHIRPY CHIRPY CHEEP CHEEP,MIDDLE OF THE ROAD,5,25,2.57
24/07/1971,GET IT ON,T REX,4,9,4.22
21/08/1971,I'M STILL WAITING,DIANA ROSS,4,17,3.44
18/09/1971,HEY GIRL DON'T BOTHER ME,TAMS,3,24,2.31
09/10/1971,REASON TO BELIEVE/MAGGIE MAY,ROD STEWART,5,28,4.10
13/11/1971,COZ I LUV YOU,SLADE,4,13,3.26
11/12/1971,ERNIE (THE FASTEST MILKMAN IN THE WEST),BENNY HILL,4,39,3.51
08/01/1972,I'D LIKE TO TEACH THE WORLD TO SING (IN PERFECT HARMONY),NEW SEEKERS,4,56,2.22
05/02/1972,TELEGRAM SAM,T REX,2,12,3.45
19/02/1972,SON OF MY FATHER,CHICORY TIP,3,16,3.07
11/03/1972,WITHOUT YOU,NILSSON,5,11,3.21
15/04/1972,AMAZING GRACE,THE PIPES & DRUMS & MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARDS,5,13,2.58
20/05/1972,METAL GURU,T REX,4,10,2.29
17/06/1972,VINCENT,DON MCLEAN,2,7,4.00
01/07/1972,TAKE ME BACK 'OME,SLADE,1,17,3.16
08/07/1972,PUPPY LOVE,DONNY OSMOND,5,10,3.04
12/08/1972,SCHOOL'S OUT,ALICE COOPER,3,12,3.30
02/09/1972,YOU WEAR IT WELL,ROD STEWART,1,16,4.22
09/09/1972,MAMA WEER ALL CRAZEE NOW,SLADE,3,24,3.45
30/09/1972,HOW CAN I BE SURE,DAVID CASSIDY,2,17,3.04
14/10/1972,MOULDY OLD DOUGH,LIEUTENANT PIGEON,4,16,2.47
11/11/1972,CLAIR,GILBERT O'SULLIVAN,2,5,3.00
25/11/1972,MY DING-A-LING,CHUCK BERRY,4,14,3.43
23/12/1972,LONG HAIRED LOVER FROM LIVERPOOL,LITTLE JIMMY OSMOND,5,32,2.12
27/01/1973,BLOCKBUSTER,SWEET,5,11,3.12
03/03/1973,CUM ON FEEL THE NOIZE,SLADE,4,21,4.22
31/03/1973,THE TWELFTH OF NEVER,DONNY OSMOND,1,20,2.41
07/04/1973,GET DOWN,GILBERT O'SULLIVAN,2,8,2.39
21/04/1973,TIE A YELLOW RIBBON ROUND THE OLD OAK TREE,DAWN FEATURING TONY ORLANDO,4,42,3.26
19/05/1973,SEE MY BABY JIVE,WIZZARD,4,16,5.02
16/06/1973,CAN THE CAN,SUZI QUATRO,1,11,3.34
23/06/1973,RUBBER BULLETS,10 C.C.,1,14,5.18
30/06/1973,SKWEEZE ME PLEEZE ME,SLADE,3,20,4.30
21/07/1973,WELCOME HOME,PETERS & LEE,1,12,3.31
28/07/1973,I'M THE LEADER OF THE GANG (I AM),GARY GLITTER,4,33,3.28
25/08/1973,YOUNG LOVE,DONNY OSMOND,4,10,2.29
22/09/1973,ANGEL FINGERS,WIZZARD,1,13,4.39
29/09/1973,EYE LEVEL,SIMON PARK ORCHESTRA,4,9,2.21
27/10/1973,DAYDREAMER/THE PUPPY SONG,DAVID CASSIDY,3,25,2.46
17/11/1973,I LOVE YOU LOVE ME LOVE,GARY GLITTER,4,23,3.15
15/12/1973,MERRY XMAS EVERYBODY,SLADE,5,20,3.43
19/01/1974,YOU WON'T FIND ANOTHER FOOL LIKE ME,NEW SEEKERS,1,35,3.12
26/01/1974,TIGER FEET,MUD,4,10,3.50
23/02/1974,DEVIL GATE DRIVE,SUZI QUATRO,2,16,3.47
09/03/1974,JEALOUS MIND,ALVIN STARDUST,1,12,2.41
16/03/1974,"BILLY, DON'T BE A HERO",PAPER LACE,3,22,3.45
06/04/1974,SEASONS IN THE SUN,TERRY JACKS,4,18,3.25
04/05/1974,WATERLOO,ABBA,2,8,2.48
18/05/1974,SUGAR BABY LOVE,RUBETTES,4,15,3.28
15/06/1974,THE STREAK,RAY STEVENS,1,10,3.17
22/06/1974,ALWAYS YOURS,GARY GLITTER,1,12,3.25
29/06/1974,SHE,CHARLES AZNAVOUR,4,3,2.33
27/07/1974,ROCK YOUR BABY,GEORGE MCCRAE,3,14,3.20
17/08/1974,WHEN WILL I SEE YOU AGAIN,THREE DEGREES,2,25,2.58
31/08/1974,LOVE ME FOR A REASON,OSMONDS,3,20,4.03
21/09/1974,KUNG FU FIGHTING,CARL DOUGLAS,3,16,3.17
12/10/1974,ANNIE'S SONG,JOHN DENVER,1,12,3.00
19/10/1974,SAD SWEET DREAMER,SWEET SENSATION,1,17,3.22
26/10/1974,EVERYTHING I OWN,KEN BOOTHE,3,16,3.49
16/11/1974,GONNA MAKE YOU A STAR,DAVID ESSEX,3,21,3.33
07/12/1974,YOU'RE THE FIRST THE LAST MY EVERYTHING,BARRY WHITE,2,39,3.32
21/12/1974,LONELY THIS CHRISTMAS,MUD,4,21,3.33
18/01/1975,DOWN DOWN,STATUS QUO,1,9,5.24
25/01/1975,MS GRACE,TYMES,1,8,3.26
01/02/1975,JANUARY,PILOT,3,7,3.31
22/02/1975,MAKE ME SMILE (COME UP AND SEE ME),STEVE HARLEY & COCKNEY REBEL,2,34,3.59
08/03/1975,IF,TELLY SAVALAS,2,2,2.49
22/03/1975,BYE BYE BABY,BAY CITY ROLLERS,6,12,2.46
03/05/1975,OH BOY,MUD,2,6,2.53
17/05/1975,STAND BY YOUR MAN,TAMMY WYNETTE,3,17,2.37
07/06/1975,WHISPERING GRASS,WINDSOR DAVIES & DON ESTELLE,3,16,3.06
28/06/1975,I'M NOT IN LOVE,10 C.C.,2,15,6.06
12/07/1975,TEARS ON MY PILLOW,JOHNNY NASH,1,18,3.14
19/07/1975,GIVE A LITTLE LOVE,BAY CITY ROLLERS,3,18,3.28
09/08/1975,BARBADOS,TYPICALLY TROPICAL,1,8,3.34
16/08/1975,CAN'T GIVE YOU ANYTHING (BUT MY LOVE),STYLISTICS,3,37,3.14
06/09/1975,SAILING,ROD STEWART,4,7,4.38
04/10/1975,HOLD ME CLOSE,DAVID ESSEX,3,13,3.52
25/10/1975,I ONLY HAVE EYES FOR YOU,ART GARFUNKEL,2,24,3.36
08/11/1975,SPACE ODDITY,DAVID BOWIE,2,12,5.18
22/11/1975,D.I.V.O.R.C.E.,BILLY CONNOLLY,1,14,2.44
29/11/1975,BOHEMIAN RHAPSODY,QUEEN,9,17,5.54
31/01/1976,MAMMA MIA,ABBA,2,9,3.33
14/02/1976,FOREVER AND EVER,SLIK,1,16,3.38
21/02/1976,DECEMBER '63 (OH WHAT A NIGHT),FOUR SEASONS,2,30,3.21
06/03/1976,I LOVE TO LOVE (BUT MY BABY LOVES TO DANCE),TINA CHARLES,3,43,3.03
27/03/1976,SAVE YOUR KISSES FOR ME,BROTHERHOOD OF MAN,6,23,3.04
08/05/1976,FERNANDO,ABBA,4,8,4.12
05/06/1976,NO CHARGE,J.J. BARRIE,1,9,3.45
12/06/1976,COMBINE HARVESTER (BRAND NEW KEY),WURZELS,2,33,3.29
26/06/1976,YOU TO ME ARE EVERYTHING,REAL THING,3,24,3.28
17/07/1976,THE ROUSSOS PHENOMENON EP,DEMIS ROUSSOS,1,25,3.39
24/07/1976,DON'T GO BREAKING MY HEART,ELTON JOHN & KIKI DEE,6,26,4.35
04/09/1976,DANCING QUEEN,ABBA,6,13,3.50
16/10/1976,MISSISSIPPI,PUSSYCAT,4,11,4.33
13/11/1976,IF YOU LEAVE ME NOW,CHICAGO,3,19,3.55
04/12/1976,UNDER THE MOON OF LOVE,SHOWADDYWADDY,3,22,3.12
25/12/1976,WHEN A CHILD IS BORN (SOLEADO),JOHNNY MATHIS,3,30,3.43
15/01/1977,DON'T GIVE UP ON US,DAVID SOUL,4,19,3.38
12/02/1977,DON'T CRY FOR ME ARGENTINA,JULIE COVINGTON,1,26,5.28
19/02/1977,WHEN I NEED YOU,LEO SAYER,3,15,4.12
12/03/1977,CHANSON D'AMOUR,MANHATTAN TRANSFER,3,15,2.53
02/04/1977,KNOWING ME KNOWING YOU,ABBA,5,22,4.01
07/05/1977,FREE,DENIECE WILLIAMS,2,4,5.56
21/05/1977,I DON'T WANT TO TALK ABOUT IT/FIRST CUT IS THE DEEPEST,ROD STEWART,4,54,4.50
18/06/1977,LUCILLE,KENNY ROGERS,1,7,3.40
25/06/1977,SHOW YOU THE WAY TO GO,JACKSONS,1,22,5.26
02/07/1977,SO YOU WIN AGAIN,HOT CHOCOLATE,3,16,4.31
23/07/1977,I FEEL LOVE,DONNA SUMMER,4,11,8.15
20/08/1977,ANGELO,BROTHERHOOD OF MAN,1,6,3.14
27/08/1977,FLOAT ON,FLOATERS,1,8,4.10
03/09/1977,WAY DOWN,ELVIS PRESLEY,5,8,2.38
08/10/1977,SILVER LADY,DAVID SOUL,3,11,3.44
29/10/1977,YES SIR I CAN BOOGIE,BACCARA,1,20,4.33
05/11/1977,THE NAME OF THE GAME,ABBA,4,20,4.51
03/12/1977,MULL OF KINTYRE/GIRLS' SCHOOL,WINGS,9,29,4.46
04/02/1978,UP TOWN TOP RANKING,ALTHIA & DONNA,1,19,3.56
11/02/1978,FIGARO,BROTHERHOOD OF MAN,1,6,2.56
18/02/1978,TAKE A CHANCE ON ME,ABBA,3,19,4.03
11/03/1978,WUTHERING HEIGHTS,KATE BUSH,4,17,4.29
08/04/1978,MATCHSTALK MEN AND MATCHSTALK CATS AND DOGS,BRIAN & MICHAEL,3,43,4.26
29/04/1978,NIGHT FEVER,BEE GEES,2,11,3.32
13/05/1978,RIVERS OF BABYLON/BROWN GIRL IN THE RING,BONEY M,5,40,4.00
17/06/1978,YOU'RE THE ONE THAT I WANT,JOHN TRAVOLTA & OLIVIA NEWTON-JOHN,9,26,2.49
19/08/1978,THREE TIMES A LADY,COMMODORES,5,18,3.36
23/09/1978,DREADLOCK HOLIDAY,10 C.C.,1,17,4.27
30/09/1978,SUMMER NIGHTS,JOHN TRAVOLTA & OLIVIA NEWTON-JOHN,7,13,3.36
18/11/1978,RAT TRAP,BOOMTOWN RATS,2,8,5.10
02/12/1978,DA YA THINK I'M SEXY,ROD STEWART,1,20,5.31
09/12/1978,MARY'S BOY CHILD - OH MY LORD,BONEY M,4,29,4.03
06/01/1979,Y.M.C.A.,VILLAGE PEOPLE,3,8,4.46
27/01/1979,HIT ME WITH YOUR RHYTHM STICK,IAN DURY & THE BLOCKHEADS,1,29,3.43
03/02/1979,HEART OF GLASS,BLONDIE,4,14,4.35
03/03/1979,TRAGEDY,BEE GEES,2,7,5.03
17/03/1979,I WILL SURVIVE,GLORIA GAYNOR,4,14,3.15
14/04/1979,BRIGHT EYES,ART GARFUNKEL,6,11,3.55
26/05/1979,SUNDAY GIRL,BLONDIE,3,11,3.05
16/06/1979,RING MY BELL,ANITA WARD,2,12,8.11
30/06/1979,ARE 'FRIENDS' ELECTRIC?,TUBEWAY ARMY,4,23,5.25
28/07/1979,I DON'T LIKE MONDAYS,BOOMTOWN RATS,4,20,4.19
25/08/1979,WE DON'T TALK ANYMORE,CLIFF RICHARD,4,21,4.17
22/09/1979,CARS,GARY NUMAN,1,4,3.58
29/09/1979,MESSAGE IN A BOTTLE,POLICE,3,19,4.50
20/10/1979,VIDEO KILLED THE RADIO STAR,BUGGLES,1,27,4.12
27/10/1979,ONE DAY AT A TIME,LENA MARTELL,3,17,3.14
17/11/1979,WHEN YOU'RE IN LOVE WITH A BEAUTIFUL WOMAN,DR HOOK,3,42,2.53
08/12/1979,WALKING ON THE MOON,POLICE,1,19,5.00
15/12/1979,ANOTHER BRICK IN THE WALL (PART 2),PINK FLOYD,5,34,3.50
19/01/1980,BRASS IN POCKET,PRETENDERS,2,15,3.04
02/02/1980,THE SPECIAL A.K.A. LIVE! EP,THE SPECIAL AKA,2,27,6.05
16/02/1980,COWARD OF THE COUNTY,KENNY ROGERS,2,20,4.22
01/03/1980,ATOMIC,BLONDIE,2,6,4.40
15/03/1980,TOGETHER WE ARE BEAUTIFUL,FERN KINNEY,1,25,4.17
22/03/1980,GOING UNDERGROUND/DREAMS OF CHILDREN,JAM,3,36,2.54
12/04/1980,WORKING MY WAY BACK TO YOU - FORGIVE ME GIRL (MEDLEY),DETROIT SPINNERS,2,53,4.02
26/04/1980,CALL ME,BLONDIE,1,7,3.32
03/05/1980,GENO,DEXY'S MIDNIGHT RUNNERS,2,4,3.27
17/05/1980,WHAT'S ANOTHER YEAR,JOHNNY LOGAN,2,19,3.08
31/05/1980,THEME FROM M*A*S*H (SUICIDE IS PAINLESS),MASH,3,40,2.49
21/06/1980,CRYING,DON MCLEAN,3,6,3.42
12/07/1980,XANADU,OLIVIA NEWTON-JOHN & ELECTRIC LIGHT ORCHESTRA,2,6,3.28
26/07/1980,USE IT UP AND WEAR IT OUT,ODYSSEY,2,25,4.57
09/08/1980,THE WINNER TAKES IT ALL,ABBA,2,23,4.54
23/08/1980,ASHES TO ASHES,DAVID BOWIE,2,14,4.26
06/09/1980,START,JAM,1,5,2.29
13/09/1980,FEELS LIKE I'M IN LOVE,KELLY MARIE,2,22,3.19
27/09/1980,DON'T STAND SO CLOSE TO ME,POLICE,4,26,4.02
25/10/1980,WOMAN IN LOVE,BARBRA STREISAND,3,13,3.51
15/11/1980,THE TIDE IS HIGH,BLONDIE,2,16,3.52
29/11/1980,SUPER TROUPER,ABBA,3,13,4.12
20/12/1980,(JUST LIKE) STARTING OVER,JOHN LENNON,1,25,3.56
27/12/1980,THERE'S NO ONE QUITE LIKE GRANDMA,ST WINIFRED'S SCHOOL CHOIR,2,33,3.02
10/01/1981,IMAGINE,JOHN LENNON,4,7,3.07
07/02/1981,WOMAN,JOHN LENNON,2,5,3.32
21/02/1981,SHADDAP YOU FACE,JOE DOLCE MUSIC THEATRE,3,16,3.13
14/03/1981,JEALOUS GUY,ROXY MUSIC,2,11,4.53
28/03/1981,THIS OLE HOUSE,SHAKIN' STEVENS,3,14,3.05
18/04/1981,MAKING YOUR MIND UP,BUCKS FIZZ,3,19,2.38
09/05/1981,STAND AND DELIVER,ADAM & THE ANTS,5,17,2.56
13/06/1981,BEING WITH YOU,SMOKEY ROBINSON,2,14,4.06
27/06/1981,ONE DAY IN YOUR LIFE,MICHAEL JACKSON,2,20,4.15
11/07/1981,GHOST TOWN,SPECIALS,3,10,3.39
01/08/1981,GREEN DOOR,SHAKIN' STEVENS,4,10,3.11
29/08/1981,JAPANESE BOY,ANEKA,1,12,3.57
05/09/1981,TAINTED LOVE,SOFT CELL,2,12,2.33
19/09/1981,PRINCE CHARMING,ADAM & THE ANTS,4,15,3.18
17/10/1981,IT'S MY PARTY,DAVE STEWART WITH BARBARA GASKIN,4,13,3.42
14/11/1981,EVERY LITTLE THING SHE DOES IS MAGIC,POLICE,1,36,4.20
21/11/1981,UNDER PRESSURE,QUEEN & DAVID BOWIE,2,14,3.57
05/12/1981,BEGIN THE BEGUINE (VOLVER A EMPEZAR),JULIO IGLESIAS,1,36,4.44
12/12/1981,DON'T YOU WANT ME,HUMAN LEAGUE,5,17,3.56
16/01/1982,THE LAND OF MAKE BELIEVE,BUCKS FIZZ,2,24,3.46
30/01/1982,OH JULIE,SHAKIN' STEVENS,1,8,2.33
06/02/1982,THE MODEL/COMPUTER LOVE,KRAFTWERK,1,23,3.40
13/02/1982,A TOWN CALLED MALICE/PRECIOUS,JAM,3,29,2.56
06/03/1982,THE LION SLEEPS TONIGHT,TIGHT FIT,3,23,3.17
27/03/1982,SEVEN TEARS,GOOMBAY DANCE BAND,3,11,3.58
17/04/1982,MY CAMERA NEVER LIES,BUCKS FIZZ,1,20,4.02
24/04/1982,EBONY AND IVORY,PAUL McCARTNEY & STEVIE WONDER,3,15,3.46
15/05/1982,A LITTLE PEACE,NICOLE,2,14,3.01
29/05/1982,HOUSE OF FUN,MADNESS,2,12,2.58
12/06/1982,GOODY TWO SHOES,ADAM ANT,2,15,3.29
26/06/1982,I'VE NEVER BEEN TO ME,CHARLENE,1,21,3.54
03/07/1982,HAPPY TALK,CAPTAIN SENSIBLE,2,10,3.31
17/07/1982,FAME,IRENE CARA,3,4,5.19
07/08/1982,COME ON EILEEN,DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS,4,14,4.47
04/09/1982,EYE OF THE TIGER,SURVIVOR,4,16,4.05
02/10/1982,PASS THE DUTCHIE,MUSICAL YOUTH,3,16,3.19
23/10/1982,DO YOU REALLY WANT TO HURT ME,CULTURE CLUB,3,29,4.22
13/11/1982,I DON'T WANNA DANCE,EDDY GRANT,3,19,3.21
04/12/1982,BEAT SURRENDER,JAM,2,14,3.27
18/12/1982,SAVE YOUR LOVE,RENEE & RENATO,4,14,3.07
15/01/1983,YOU CAN'T HURRY LOVE,PHIL COLLINS,2,20,2.55
29/01/1983,DOWN UNDER,MEN AT WORK,3,10,3.40
19/02/1983,TOO SHY,KAJAGOOGOO,2,7,3.42
05/03/1983,BILLIE JEAN,MICHAEL JACKSON,1,11,4.53
12/03/1983,TOTAL ECLIPSE OF THE HEART,BONNIE TYLER,2,26,4.27
26/03/1983,IS THERE SOMETHING I SHOULD KNOW,DURAN DURAN,2,32,4.11
09/04/1983,LET'S DANCE,DAVID BOWIE,3,11,7.37
30/04/1983,TRUE.,SPANDAU BALLET,4,5,5.28
28/05/1983,CANDY GIRL,NEW EDITION,1,10,3.58
04/06/1983,EVERY BREATH YOU TAKE,POLICE,4,21,4.13
02/07/1983,BABY JANE,ROD STEWART,3,9,4.43
23/07/1983,WHEREVER I LAY MY HAT (THAT'S MY HOME),PAUL YOUNG,3,38,4.10
13/08/1983,GIVE IT UP,K C & THE SUNSHINE BAND,3,10,4.05
03/09/1983,RED RED WINE,UB 40,3,12,5.20
24/09/1983,KARMA CHAMELEON,CULTURE CLUB,6,15,4.01
05/11/1983,UPTOWN GIRL,BILLY JOEL,5,11,3.14
10/12/1983,ONLY YOU,FLYING PICKETS,5,8,3.26
14/01/1984,PIPES OF PEACE,PAUL MCCARTNEY,2,14,3.23
28/01/1984,RELAX,FRANKIE GOES TO HOLLYWOOD,5,5,3.56
03/03/1984,99 RED BALLOONS,NENA,3,15,4.41
24/03/1984,HELLO,LIONEL RICHIE,6,5,4.06
05/05/1984,THE REFLEX,DURAN DURAN,4,10,4.26
02/06/1984,WAKE ME UP BEFORE YOU GO-GO,WHAM!,2,27,3.51
16/06/1984,TWO TRIBES,FRANKIE GOES TO HOLLYWOOD,9,10,3.28
18/08/1984,CARELESS WHISPER,GEORGE MICHAEL,3,16,5.00
08/09/1984,I JUST CALLED TO SAY I LOVE YOU,STEVIE WONDER,6,31,4.22
20/10/1984,FREEDOM,WHAM!,3,7,5.02
10/11/1984,I FEEL FOR YOU,CHAKA KHAN,3,14,5.43
01/12/1984,I SHOULD HAVE KNOWN BETTER,JIM DIAMOND,1,26,4.08
08/12/1984,THE POWER OF LOVE,FRANKIE GOES TO HOLLYWOOD,1,17,5.32
15/12/1984,DO THEY KNOW IT'S CHRISTMAS?,BAND AID,5,28,3.42
19/01/1985,I WANT TO KNOW WHAT LOVE IS,FOREIGNER,3,27,5.04
09/02/1985,I KNOW HIM SO WELL,ELAINE PAIGE & BARBARA DICKSON,4,18,4.17
